"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2615","Click logo & assert url DOES NOT contains get-started text","","Wed Jun 04 19:49:55 BOT 2025","passed","Wed Jun 04 19:49:58 BOT 2025","","Home","",""
"","9249","Working with iFrame","","Wed Jun 04 19:49:43 BOT 2025","passed","Wed Jun 04 19:49:52 BOT 2025","","IFrame","",""
"","4079","Open About Page & assert URL","","Wed Jun 04 19:49:49 BOT 2025","passed","Wed Jun 04 19:49:54 BOT 2025","","Home","",""
"","1641","Get the text of all menu items & assert them - using wait commands","","Wed Jun 04 19:49:52 BOT 2025","passed","Wed Jun 04 19:49:54 BOT 2025","","Navigation Menu","",""
"","10204","Get the text of all menu items & assert them","","Wed Jun 04 19:49:42 BOT 2025","passed","Wed Jun 04 19:49:52 BOT 2025","","Navigation Menu","",""
"","6918","Open URL & assert title","","Wed Jun 04 19:49:43 BOT 2025","passed","Wed Jun 04 19:49:49 BOT 2025","","Home","",""
"","1670","Find heading element & assert the text","","Wed Jun 04 19:49:58 BOT 2025","passed","Wed Jun 04 19:49:59 BOT 2025","","Home","",""
"","1474","Click get started btn & assert url contains get-started text","","Wed Jun 04 19:49:54 BOT 2025","passed","Wed Jun 04 19:49:55 BOT 2025","","Home","",""
"","4352","Get the list of all Recent Posts & assert the length of each list item > 1 & assert the total count = 4","","Wed Jun 04 19:49:42 BOT 2025","passed","Wed Jun 04 19:49:47 BOT 2025","","Blog","",""
"","9506","Upload hidden input","","Wed Jun 04 19:49:44 BOT 2025","passed","Wed Jun 04 19:49:54 BOT 2025","","Upload Tests","",""
